Analys.batch,std.batch,#,ID,Chem.ID,redo.flag,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,IS Area,Scn.Conc.,Scort.Conc.,Tdin.Conc.,Tcin.Conc.
1,1,81,HS Batch 2,45,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1088102,0.018823,0.138387,0.004785,0.074656
1,1,82,HS Batch 2,46,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1094632,0.018968,0.184212,0.006668,0.147661
1,1,83,HS Batch 2,47,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1073877,0.113721,0.079066,0.083763,0.067998
1,1,84,HS Batch 2,48,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1065823,0.071373,0.080552,0.056301,0.095896
1,1,85,HS Batch 2,49,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1055892,0.031044,0.180496,0.014575,0.14036
1,1,86,HS Batch 2,50,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1080663,0.145833,0.032372,0.11256,0.077096
1,1,87,HS Batch 2,51,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1063317,0.060281,0.148546,0.032308,0.127334
1,1,90,HS Batch 2,52,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1069078,0.162746,0.21614,0.059001,0.24769
1,1,91,HS Batch 2,53,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1076815,0.081368,0.044898,0.054249,0.070856
1,1,92,HS Batch 2,54,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1080865,0.016234,0.124392,0.004112,0.079567
1,1,93,HS Batch 2,55,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1086650,0.046757,0.125666,0.030628,0.106042
1,1,94,HS Batch 2,55,x,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1114154,0.024162,0.225952,0.010202,0.162428
1,1,95,HS Batch 2,56,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1073498,0.106098,0.111895,0.061725,0.101399
1,1,96,HS Batch 2,57,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1056016,0.092274,0.162127,0.054312,0.252487
1,1,97,HS Batch 2,58,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1106717,0.027763,0.24278,0.01143,0.203932
1,1,98,HS Batch 2,59,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1113696,0.013781,0.149243,0.005282,0.126064
1,1,99,HS Batch 2,60,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1103728,0.039644,0.234051,0.015043,0.247613
1,1,100,HS Batch 2,61,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1099634,0.021849,0.172457,0.007461,0.108825
1,1,101,HS Batch 2,62,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1084499,0.019088,0.128534,0.011342,0.127195
1,1,102,HS Batch 2,63,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1107034,0.095002,0.016912,0.080906,0.029404
1,1,105,HS Batch 2,64,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1041736,0.025278,0.159959,0.007907,0.117115
1,1,106,HS Batch 2,65,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1091202,0.04859,0.028064,0.033721,0.044599
1,1,107,HS Batch 2,66,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1104621,0.056679,0.055832,0.035314,0.056145
1,1,108,HS Batch 2,67,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1081211,0.017455,0.080908,0.007569,0.059382
1,1,109,HS Batch 2,68,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1352947,0.030857,0.144317,0.01241,0.129834
1,1,110,HS Batch 2,69,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1080613,0.04399,0.118433,0.020402,0.075296
1,1,111,HS Batch 2,70,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1114070,0.028794,0.1554,0.01682,0.116906
1,1,112,HS Batch 2,71,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1075168,0.037864,0.235714,0.012339,0.182696
1,1,113,HS Batch 2,72,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1122534,0.040236,0.098545,0.022329,0.089686
1,1,114,HS Batch 2,73,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1122649,0.0648,0.106338,0.030283,0.118757
1,1,115,HS Batch 2,74,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1135050,0.091004,0.090725,0.055422,0.102546
1,1,116,HS Batch 2,75,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1144712,0.037156,0.13489,0.024197,0.103946
