Analys.batch,std.batch,#,ID,Chem.ID,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,redo.flag,Type,Std. Conc,Scn.RT,Scn.Area,Scn.IS Area,Scn.Response,Scn.Detection Flags,Scn.Conc.,Scn.pctDev,Scort.Std. Conc,,Scort.RT,Scort.Area,Scort.IS Area,Scort.Response,Scort.Detection Flags,Scort.Conc.,Scort.pctDev,Tdin.Std. Conc,Tdin.RT,Tdin.Area,Tdin.IS Area,Tdin.Response,Tdin.Detection Flags,Tdin.Conc.,Tdin.pctDev,Tcin.Std. Conc,Tcin.RT,Tcin.Area,Tcin.IS Area,Tcin.Response,Tcin.Detection Flags,Tcin.Conc.,Tcin.pctDev
1,1,93,HS Batch 2,55,22.9,0.667665459,1.794444629,0.43735179,1.514224192,,Analyte,,2.65,105073,1086650,0.097,bb,0.046757,,,,5.81,953992,1086650,0.878,bb,0.125666,,,10.06,172513,1086650,0.159,bb,0.030628,,,16.05,1138991,1086650,1.048,bb,0.106042,
1,1,94,HS Batch 2,55,29.3,0.269657816,2.52171686,0.113858498,1.812763003,x,Analyte,,2.65,56367,1114154,0.051,bb,0.024162,,,,5.81,1684869,1114154,1.512,bb,0.225952,,,10.06,60090,1114154,0.054,bb,0.010202,,,16.05,1731188,1114154,1.554,bb,0.162428,
1,1,95,HS Batch 2,56,23.6,1.470086695,1.550409534,0.855257415,1.404977669,,Analyte,,2.65,227800,1073498,0.212,bb,0.106098,,,,5.81,844012,1073498,0.786,bb,0.111895,,,10.06,333077,1073498,0.31,bb,0.061725,,,16.04,1078785,1073498,1.005,bb,0.101399,
1,1,96,HS Batch 2,57,23.9,1.26249364,2.218222971,0.743097238,3.454529247,,Analyte,,2.65,196435,1056016,0.186,bb,0.092274,,,,5.81,1177829,1056016,1.115,bb,0.162127,,,10.06,290444,1056016,0.275,bb,0.054312,,,16.04,2415090,1056016,2.287,bb,0.252487,
1,1,97,HS Batch 2,58,25.6,0.354628945,3.101135156,0.146000391,2.604912656,,Analyte,,2.65,64210,1106717,0.058,bb,0.027763,,,,5.81,1785035,1106717,1.613,bb,0.24278,,,10.06,66792,1106717,0.06,bb,0.01143,,,16.04,2106157,1106717,1.903,bb,0.203932,
1,1,98,HS Batch 2,59,24.1,0.186987012,2.024998382,0.071668631,1.710494938,,Analyte,,2.65,32319,1113696,0.029,bb,0.013781,,,,5.81,1149710,1113696,1.032,bb,0.149243,,,10.06,31241,1113696,0.028,bb,0.005282,,,16.04,1371881,1113696,1.232,bb,0.126064,
1,1,99,HS Batch 2,60,22.5,0.576159467,3.4015412,0.218624933,3.598642267,,Analyte,,2.65,90844,1103728,0.082,bb,0.039644,,,,5.81,1722809,1103728,1.561,bb,0.234051,,,10.06,87368,1103728,0.079,bb,0.015043,,,16.04,2483002,1103728,2.25,bb,0.247613,
1,1,100,HS Batch 2,61,24.6,0.290431829,2.29241622,0.099176707,1.44657622,,Analyte,,2.65,50372,1099634,0.046,bb,0.021849,,,,5.79,1298889,1099634,1.181,bb,0.172457,,,10.06,43486,1099634,0.04,bb,0.007461,,,16.04,1180966,1099634,1.074,bb,0.108825,
1,1,101,HS Batch 2,62,24.5,0.254766367,1.715535429,0.15138098,1.697663878,,Analyte,,2.65,43465,1084499,0.04,bb,0.019088,,,,5.81,972669,1084499,0.897,bb,0.128534,,,10.06,64951,1084499,0.06,bb,0.011342,,,16.04,1347019,1084499,1.242,bb,0.127195,
1,1,102,HS Batch 2,63,25,1.24262616,0.22120896,1.05825048,0.38460432,,Analyte,,2.65,211685,1107034,0.191,bb,0.095002,,,,5.81,136755,1107034,0.124,bb,0.016912,,,10.06,441562,1107034,0.399,bb,0.080906,,,16.04,335831,1107034,0.303,bb,0.029404,
1,1,105,HS Batch 2,64,20.4,0.405191471,2.564048676,0.126744559,1.877284559,,Analyte,,2.65,55105,1041736,0.053,bb,0.025278,,,,5.79,1147419,1041736,1.101,bb,0.159959,,,10.06,43641,1041736,0.042,bb,0.007907,,,16.04,1198307,1041736,1.15,bb,0.117115,
1,1,106,HS Batch 2,65,21.1,0.753029858,0.434925498,0.522595592,0.691178815,,Analyte,,2.65,109538,1091202,0.1,bb,0.04859,,,,5.79,222683,1091202,0.204,bb,0.028064,,,10.06,190159,1091202,0.174,bb,0.033721,,,16.04,497914,1091202,0.456,bb,0.044599,
1,1,107,HS Batch 2,66,24.4,0.759591516,0.748240328,0.473265492,0.752435041,,Analyte,,2.65,128764,1104621,0.117,bb,0.056679,,,,5.81,443457,1104621,0.401,bb,0.055832,,,10.06,201274,1104621,0.182,bb,0.035314,,,16.02,630487,1104621,0.571,bb,0.056145,
1,1,108,HS Batch 2,67,22.6,0.252556858,1.17066,0.109516062,0.859199735,,Analyte,,2.65,39661,1081211,0.037,bb,0.017455,,,,5.79,622594,1081211,0.576,bb,0.080908,,,10.03,43367,1081211,0.04,bb,0.007569,,,16.02,651530,1081211,0.603,bb,0.059382,
1,1,109,HS Batch 2,68,21.5,0.469313442,2.194960884,0.188747442,1.974684558,,Analyte,,2.65,87096,1352947,0.064,bb,0.030857,,,,5.8,1353416,1352947,1,bb,0.144317,,,10.04,88572,1352947,0.065,bb,0.01241,,,16.01,1712698,1352947,1.266,bb,0.129834,
1,1,110,HS Batch 2,69,21.8,0.65985,1.776495,0.30603,1.12944,,Analyte,,2.65,98457,1080613,0.091,bb,0.04399,,,,5.79,896797,1080613,0.83,bb,0.118433,,,10.03,115414,1080613,0.107,bb,0.020402,,,16,818373,1080613,0.757,bb,0.075296,
