Quantify Compound Summary Report 

Printed Tue Dec 04 12:09:22 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
43	43	HS Batch 4	HS-169	Analyte		9.12	21050	1256043	0.017	bbI		
44	44	HS Batch 4	HS-170	Analyte		9.12	10372	1110396	0.009	bbI		
45	45	HS Batch 4	HS-171	Analyte		9.12	8811	1104706	0.008	bbI		
46	46	HS Batch 4	HS-172	Analyte		9.12	18008	1116993	0.016	bbI		
47	47	HS Batch 4	HS-173	Analyte		9.12	7910	1076033	0.007	bbI		
48	48	HS Batch 4	HS-174	Analyte		9.09	9380	1160698	0.008	bbI		
49	49	HS Batch 4	HS-175	Analyte		9.09	13205	1101753	0.012	bbI		
50	50	HS Batch 4	HS-176	Analyte		9.09	18985	1104924	0.017	bbI		
51	51	HS Batch 4	HS-177	Analyte		9.09	27867	1111400	0.025	bbI		
52	52	HS Batch 4	HS-178	Analyte		9.09	16173	1143047	0.014	bbI		
53	53	HS Batch 4	HS-179	Analyte		9.09	22240	1111821	0.020	bbI		
54	54	HS Batch 4	HS-180	Analyte		9.09	10703	1131823	0.009	bbI		
55	55	HS Batch 4	HS-4_221_1611_C	Analyte		9.09	14040	1193476	0.012	bbI		
56	56	HS Batch 4	HS-4_251_1211_C	Analyte		9.09	15512	1231180	0.013	bbI		
57	57	HS Batch 4	HS-181	Analyte		9.09	28347	1289802	0.022	bbI		
58	58	HS Batch 4	HS-182	Analyte		9.09	2589	1128403	0.002	bbI		
59	59	HS Batch 4	HS-183	Analyte		9.09	13712	1116293	0.012	bbI		
60	60	HS Batch 4	HS-184	Analyte		9.09	11453	1123151	0.010	bbI		
61	61	HS Batch 4	HS-185	Analyte		9.09	24046	1134531	0.021	bbI		
62	62	HS Batch 4	HS-186	Analyte		9.09	21697	1124310	0.019	bbI		
63	63	HS Batch 4	HS-187	Analyte		9.09	6627	1176438	0.006	bbI		
64	64	HS Batch 4	HS-188	Analyte		9.09	13707	1146641	0.012	bbI		
65	65	HS Batch 4	HS-189	Analyte		9.09	13148	1172607	0.011	bbI		
66	66	HS Batch 4	HS-190	Analyte		9.06	20326	1157882	0.018	bbI		
67	67	HS Batch 4	HS-191	Analyte		9.09	1056	1177081	0.001	bbI		
68	68	HS Batch 4	HS-192	Analyte		9.09	32870	1231133	0.027	bbI		
69	69	HS Batch 4	HS-193	Analyte		9.09	33227	1163561	0.029	bbI		
70	70	HS Batch 4	HS-4_221_1611_D	Analyte		9.12	17768	1255636	0.014	bbI		
71	71	HS Batch 4	HS-4_251_1211_D	Analyte		9.09	19450	1287467	0.015	bbI		
72	72	HS Batch 4	HS-194	Analyte		9.09	13368	1154907	0.012	bbI		
73	73	HS Batch 4	HS-195	Analyte		9.12	12827	1168790	0.011	bbI		
74	74	HS Batch 4	HS-196	Analyte		9.12	7645	1154939	0.007	bbI		
75	75	HS Batch 4	HS-197	Analyte		9.12	3955	1191385	0.003	bbI		
76	76	HS Batch 4	HS-198	Analyte		9.12	6062	1199651	0.005	bbI		
77	77	HS Batch 4	HS-199	Analyte		9.12	26323	1180117	0.022	bbI		
78	78	HS Batch 4	HS-200	Analyte		9.12	24756	1153131	0.021	bbI		
79	79	HS Batch 4	HS-201	Analyte		9.12	8428	1153695	0.007	bbI		
80	80	HS Batch 4	HS-202	Analyte		9.12	52240	1104601	0.047	bbI		
81	81	HS Batch 4	HS-203	Analyte		9.12	17216	1130699	0.015	bbI		
82	82	HS Batch 4	HS-204	Analyte		9.12	14507	1088877	0.013	bbI		
83	83	HS Batch 4	HS-206	Analyte		9.12	36925	1133807	0.033	bbI		
84	84	HS Batch 4	HS-4_221_1611_E	Analyte		9.12	21005	1292952	0.016	bbI		
85	85	HS Batch 4	HS-4_251_1211_E	Analyte		9.12	23318	1275498	0.018	bbI		
86	86	HS Batch 4	HS-208	Analyte		9.12	47975	1533124	0.031	bbI		
87	87	HS Batch 4	HS-209	Analyte		9.12	5332	1092866	0.005	bbI		
88	88	HS Batch 4	HS-210	Analyte		9.12	10910	1121432	0.010	bbI		
89	89	HS Batch 4	HS-211	Analyte		9.12	10422	1166616	0.009	bbI		
90	90	HS Batch 4	HS-212	Analyte		9.12	25666	1157161	0.022	bbI		
91	91	HS Batch 4	HS-213	Analyte		9.12	6718	1160037	0.006	bbI		
92	92	HS Batch 4	HS-214	Analyte		9.12	12177	1209801	0.010	bbI		
93	93	HS Batch 4	HS-215	Analyte		9.12	52037	1193152	0.044	bbI		
94	94	HS Batch 4	HS-216	Analyte		9.12	16674	1162518	0.014	bbI		
