Quantify Compound Summary Report 

Printed Fri Nov 09 10:38:52 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
26	26	HS Batch 1	HS-1_299_0711_A	Analyte	1.0000	8.53	563466	563466	1.000	bb	1.000000	0.0
27	27	HS Batch 1	HS-1	Analyte	1.0000	8.52	496657	496657	1.000	bb	1.000000	0.0
28	28	HS Batch 1	HS-2	Analyte	1.0000	8.53	508055	508055	1.000	bb	1.000000	0.0
29	29	HS Batch 1	HS-3	Analyte	1.0000	8.53	491689	491689	1.000	bb	1.000000	0.0
30	30	HS Batch 1	HS-4	Analyte	1.0000	8.52	500085	500085	1.000	bb	1.000000	0.0
31	31	HS Batch 1	HS-5	Analyte	1.0000	8.52	512210	512210	1.000	bb	1.000000	0.0
32	32	HS Batch 1	HS-6	Analyte	1.0000	8.53	528294	528294	1.000	bb	1.000000	0.0
33	33	HS Batch 1	HS-7	Analyte	1.0000	8.52	539633	539633	1.000	bb	1.000000	0.0
34	34	HS Batch 1	HS-8	Analyte	1.0000	8.52	555744	555744	1.000	bb	1.000000	0.0
35	35	HS Batch 1	HS-9	Analyte	1.0000	8.55	532276	532276	1.000	bb	1.000000	0.0
36	36	HS Batch 1	HS-10	Analyte	1.0000	8.55	537337	537337	1.000	bb	1.000000	0.0
37	37	HS Batch 1	HS-11	Analyte	1.0000	8.55	535064	535064	1.000	bb	1.000000	0.0
38	38	HS Batch 1	HS-12	Analyte	1.0000	8.55	533043	533043	1.000	bb	1.000000	0.0
39	39	HS Batch 1	HS-1_250_0711_B	Analyte	1.0000	8.55	604580	604580	1.000	bb	1.000000	0.0
40	40	HS Batch 1	HS-1_299_0711_B	Analyte	1.0000	8.57	590663	590663	1.000	bb	1.000000	0.0
41	41	HS Batch 1	HS-13	Analyte	1.0000	8.60	559990	559990	1.000	bb	1.000000	0.0
42	42	HS Batch 1	HS-14	Analyte	1.0000	8.62	572739	572739	1.000	bb	1.000000	0.0
43	43	HS Batch 1	HS-15	Analyte	1.0000	8.62	559418	559418	1.000	bb	1.000000	0.0
44	44	HS Batch 1	HS-16	Analyte	1.0000	8.60	572982	572982	1.000	bb	1.000000	0.0
45	45	HS Batch 1	HS-17	Analyte	1.0000	8.60	561237	561237	1.000	bb	1.000000	0.0
46	46	HS Batch 1	HS-18	Analyte	1.0000	8.55	587852	587852	1.000	bb	1.000000	0.0
47	47	HS Batch 1	HS-19	Analyte	1.0000	8.55	567983	567983	1.000	bb	1.000000	0.0
