Dish.ID,gen.num,genet.lf,vial.num,lf.init.wetmass_mg,lf.init.drymass_mg,lf.end.drymass_mg,gm.init.wetmass_mg,gm.init.drymass_mg,gm.end.drymass_mg,start.date_dmy,start.time_2400,start_24:00:00,end.date_dmy,end.time_2400,end_24:00:00,molting_bin
34B,2,58,7B,234.8,,82,76.4,,8.1,09-Jun-18,1907,19:07:00,11-Jun-18,828,8:28:00,1
37B,2,58,8B,253.7,,84.9,89.3,,7.6,09-Jun-18,1909,19:09:00,11-Jun-18,829,8:29:00,1
45B,2,143,2B,530.4,,141.7,78.8,,13.5,09-Jun-18,1910,19:10:00,11-Jun-18,816,8:16:00,0
12B,2,336,48B,284.5,,68.3,89.2,,27.5,09-Jun-18,1905,19:05:00,11-Jun-18,826,8:26:00,0
19B,2,143,1B,641.3,,188.8,76,,9,09-Jun-18,1910,19:10:00,11-Jun-18,824,8:24:00,1
37,3,158,3,224.7,,75.6,83.3,,18.6,07-Jun-18,2012,20:12:00,09-Jun-18,831,8:31:00,1
38,3,268,39,217.3,,68.5,87.6,,23.8,07-Jun-18,2013,20:13:00,09-Jun-18,831,8:31:00,0
39,3,336,33,197.2,,30.7,77.1,,19.2,07-Jun-18,2015,20:15:00,09-Jun-18,832,8:32:00,0
40,3,66,90,321.2,,101.9,76.1,,16.7,07-Jun-18,2016,20:16:00,09-Jun-18,832,8:32:00,0
41,3,176,99,311.1,,62.1,75.2,,21.2,07-Jun-18,2017,20:17:00,09-Jun-18,832,8:32:00,0
42,3,207,24,265.5,,86.5,75.6,,15.7,07-Jun-18,2017,20:17:00,09-Jun-18,832,8:32:00,0
43,3,318,75,307,,44.6,81.1,,30.8,07-Jun-18,2018,20:18:00,09-Jun-18,833,8:33:00,0
44,3,256,36,277.2,,69.6,86.9,,24,07-Jun-18,2018,20:18:00,09-Jun-18,833,8:33:00,0
45,3,178,63,221.4,,80.9,81.4,,11.8,07-Jun-18,2019,20:19:00,08-Jun-18,1900,19:00:00,1
46,3,6,102,281.8,,68.8,81.1,,17.2,07-Jun-18,2019,20:19:00,09-Jun-18,834,8:34:00,0
47,3,24,60,281.5,,91.1,76.2,,11.8,07-Jun-18,2020,20:20:00,09-Jun-18,834,8:34:00,0
48,3,335,57,190.7,,71.4,71,,18.4,07-Jun-18,2021,20:21:00,09-Jun-18,835,8:35:00,0
37B,3,158,10B,193.7,,67.8,89.3,,7.6,09-Jun-18,1909,19:09:00,11-Jun-18,829,8:29:00,1
45B,3,178,56B,211.3,,73.1,78.8,,13.5,09-Jun-18,1910,19:10:00,11-Jun-18,816,8:16:00,0
